HEADER_NAMES
Altimeter..m.
AltM
bottle
Bottle
Bottle.1
C0S.m
C1S.m
Cond_1
Cond_2
cond1
cond2
CRAT_2
cruise
Cruise
Cruise.number
cruise_number
CStarTr0
ctd_file
CTD_File
Date
date
dens1
dens2
Density_1
Density_2
DOXY_2
Elasped.Time..sec.
event
Event
Filename
filename
FlCM
FlECO.AFL
FLOR_1
FLOR_2
FlSP
FlSPuv0
Fluor_1
Fluor_2
fluor1
fluor2
id
ID.Label
lat
Lat
Latitude
latitude
Latitude.1
lon
Long
Longitude
longitude
Longitude.1
opt_phase
opt_temp
Optode.Phase
Optode.Temp
Oxy_1
Oxy_2
oxy1
oxy2
PAR
Par
pH
Ph
ph
Potemp068C
Potemp168C
POTM_1
POTM_2
PrDM
PrdM
Pressure
pressure
Primary.Cond..S.m
Primary.fluorescence..Chlorophyll.micro.grams.litre
Primary.fluorescence..Seapoint.Ultraviolet..CDOM.
Primary.Oxygen.ML.L
Primary.Oxygen.Raw
Primary.Salinity
Primary.Sigma.theta
Primary.Temp..1968.Scale
Primary.theta.1968.Scale
PSAL_2
rosette
Rosette.position
Sal00
sal1
Sal11
sal2
Salinity_1
Salinity_2
Sample.id
sample_id
Sbeox0ML.L
Sbeox0V
Sbeox1ML.L
Sbeox1V
Scan
scan
Scan.number
Secondary.Cond..S.m
Secondary.fluorescence..Chlorophyll.micro.grams.litre
Secondary.fluorescence..Seapoint.Chlorophyll.micro.grams.litre
Secondary.Oxygen.ML.L
Secondary.Oxygen.Raw
Secondary.Salinity
Secondary.Sigma.theta
Secondary.Temp..1968.Scale
Secondary.theta.1968.Scale
Sep.15.2016
Sigma.é00
Sigma.é11
SIGP_2
Spar
station
Station.number
T068C
T168C
Temp_1
Temp_2
TEMP_2
temp1
temp2
Tertiary.fluorescence..Chlorophyll.micro.grams.litre
Theta_1
Theta_2
theta1
theta2
Time
time
TimeS
trip
Trip.number
trip_number
TurbWETbb0
UPoly0
UPoly1
UPoly2
WetCDOM
